"Package"|"Version"|"Priority"|"Depends"|"Imports"|"LinkingTo"|"Suggests"|"Enhances"|"License"|"License_is_FOSS"|"License_restricts_use"|"OS_type"|"Archs"|"MD5sum"|"NeedsCompilation"|"File"|"Repository"
"A3"|"1.0.0"|NA|"R (>= 2.15.0), xtable, pbapply"|NA|NA|"randomForest, e1071"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ABCanalysis"|"1.1.2"|NA|"R (>= 2.10)"|"plotrix"|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ABCoptim"|"0.13.11"|NA|NA|NA|NA|NA|NA|"GPL (>= 3)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ABCp2"|"1.2"|NA|"MASS"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ABHgenotypeR"|"1.0.1"|NA|NA|"ggplot2, reshape2, utils"|NA|"knitr, rmarkdown"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ACA"|"1.0"|NA|"R (>= 3.2.2)"|"graphics, grDevices, stats, utils"|NA|NA|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ACCLMA"|"1.0"|NA|NA|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ACD"|"1.5.3"|NA|"R(>= 2.13.0)"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ACDm"|"1.0.4"|NA|"R(>= 2.10.0)"|"plyr, dplyr, ggplot2, Rsolnp, zoo, graphics,"|NA|"optimx, rgl,"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ACEt"|"1.6.9"|NA|"R (>= 3.1.1)"|"Rcpp (>= 0.11.1), splines, MASS"|"BH, RcppArmadillo, Rcpp"|"knitr (>= 1.12.1), rmarkdown (>= 0.9.5)"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ACNE"|"0.8.1"|NA|"R (>= 3.0.0), aroma.affymetrix (>= 2.14.0)"|"MASS, R.methodsS3 (>= 1.7.0), R.oo (>= 1.19.0), R.utils (>=
2.1.0), matrixStats (>= 0.14.2), R.filesets (>= 2.9.0),
aroma.core (>= 2.14.0)"|NA|"DNAcopy"|NA|"LGPL (>= 2.1)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ACSNMineR"|"0.16.8.25"|NA|"R (>= 3.1.0),ggplot2, gridExtra,scales,"|NA|NA|"rmarkdown, knitr"|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
